Code,Name,Symptoms,Treatments
107,Chalazion,"blurred_vision_(if_the_chalazion_affects_the_line_of_sight),localized_inflammation_and_swelling,mild_discomfort,painful,red_lump_or_swelling_on_the_eyelid,sensitivity_to_light,tenderness,usually_on_the_upper_eyelid","Warm compresses (to help soften and promote drainage of the blocked oil gland), gentle massage of the affected area, eyelid hygiene (keeping the area clean), over-the-counter lubricating eye drops, topical antibiotic ointments (if there is a risk of infection), corticosteroid injections (for larger or persistent chalazia), surgical drainage or excision (in rare cases or if conservative treatments are ineffective)"
108,Ovarian Torsion,"abdominal_tenderness,abnormal_bleeding_or_spotting,bloating,fever,nausea,pain_during_intercourse,rapid_heartbeat,sharp_or_stabbing_pain,sudden_and_severe_abdominal_or_pelvic_pain_on_one_side,swelling,vomiting","Emergency medical attention (as ovarian torsion is a medical emergency), imaging tests (such as ultrasound or CT scan) to diagnose torsion, surgical intervention (laparoscopic or open surgery) to untwist the ovary and restore blood flow, removal of the ovary (if it is damaged or non-viable), pain management (medications for pain relief)"
109,Vaginal Yeast Infection,"burning_sensation_during_urination,clumpy_vaginal_discharge_(resembling_cottage_cheese),itching_and_irritation_in_the_vagina_and_vulva,pain_during_sexual_intercourse,rash_or_soreness_in_the_affected_area,redness_and_swelling_of_the_vulva,thick,white","Over-the-counter antifungal creams, ointments, or suppositories (such as miconazole, clotrimazole, or terconazole), prescription-strength antifungal medications (in severe or recurrent cases), oral antifungal medications (if recommended by a healthcare professional), topical corticosteroids (for relief of itching and inflammation), maintaining good hygiene practices, avoiding irritants (such as scented products), wearing breathable cotton underwear, avoiding tight-fitting clothing, probiotics (to restore healthy vaginal flora)"
110,Mastoiditis,"drainage_of_fluid_or_pus_from_the_ear,ear_pain_(particularly_behind_the_ear),earache,fever,headache,hearing_loss_or_impaired_hearing,irritability_(in_infants_and_young_children),mastoid_bone_protrusion_or_swelling,swelling_and_redness_of_the_ear_or_the_area_behind_the_ear,tenderness_or_pain_when_touching_the_area","Antibiotics (oral or intravenous) to treat the underlying bacterial infection, pain relievers (such as acetaminophen or ibuprofen) for pain and fever, ear drops (if there is drainage from the ear), surgical intervention (in severe or chronic cases), such as mastoidectomy (removal of infected mastoid bone cells) or tympanostomy tube placement (to relieve pressure and drain fluid from the middle ear), supportive care (rest, hydration, warm compresses)"
111,Lung Contusion,"chest_pain_(sharp_or_dull),chest_wall_bruising,coughing_up_blood_or_pink-tinged_sputum,cyanosis_(bluish_discoloration_of_the_skin),decreased_oxygen_levels,difficulty_breathing_or_shortness_of_breath,rapid_or_shallow_breathing,rib_fractures_(associated_injuries),wheezing","Supportive care (including supplemental oxygen, pain management, and respiratory support), monitoring in a hospital setting (to assess lung function and overall stability), treatment of associated injuries (such as rib fractures), management of complications (such as pneumonia or respiratory failure), prevention of further complications (such as deep vein thrombosis or pressure ulcers), respiratory therapy (including breathing exercises and airway clearance techniques), possible use of mechanical ventilation in severe cases"
112,Hypertrophic Obstructive Cardiomyopathy (HOCM),"chest_pain_or_discomfort,dizziness_or_lightheadedness,especially_during_physical_activity_or_exertion,fainting_or_near-fainting_episodes,fatigue,feet,heart_palpitations_(rapid_or_irregular_heartbeat),or_legs,shortness_of_breath,swelling_in_the_ankles","Medications to relieve symptoms and improve heart function (such as beta-blockers, calcium channel blockers, and disopyramide), medications to prevent abnormal heart rhythms (such as anti-arrhythmic drugs), medications to reduce blood clotting (such as aspirin or anticoagulants), implantable cardioverter-defibrillator (ICD) placement (to monitor and correct abnormal heart rhythms), septal myectomy (surgical removal of a portion of the thickened heart muscle), alcohol septal ablation (destruction of excess heart muscle with alcohol injection), lifestyle modifications (such as avoiding strenuous activities, managing stress, and maintaining a healthy weight), regular follow-up visits with a cardiologist"
113,Pulmonary Eosinophilia,"chest_pain,cough,elevated_eosinophil_count_in_the_blood_or_sputum,fatigue,fever,night_sweats,shortness_of_breath,weight_loss,wheezing","Identification and treatment of underlying causes (such as parasitic infections, drug reactions, or allergic reactions), corticosteroids (such as prednisone) to reduce inflammation, bronchodilators (such as inhalers) to relieve bronchospasm and improve airflow, antiparasitic medications (if parasitic infection is identified), immunosuppressive medications (in severe cases), avoidance of triggers or allergens (if identified), symptomatic treatment for associated symptoms (such as fever or cough), regular monitoring and follow-up with a healthcare professional"
114,Corneal Disorder,"blurred_or_hazy_vision,corneal_abrasions_or_ulcers,distorted_or_irregular_corneal_shape,dryness_or_excessive_tearing,excessive_tearing,eye_pain_or_discomfort,foreign_body_sensation,redness_or_irritation_of_the_eye,sensitivity_to_light_(photophobia),vision_loss","Treatment depends on the specific corneal disorder and may include: artificial tears or lubricating eye drops, antibiotic or antifungal eye drops (if infection is present), corticosteroid eye drops or ointments (to reduce inflammation), bandage contact lenses, therapeutic contact lenses, corneal transplantation (in severe cases), refractive surgeries (such as LASIK or PRK) to correct vision, protective eyewear or sunglasses, avoiding irritants or triggers, regular eye examinations and monitoring, lifestyle modifications (such as proper eye hygiene and avoiding eye strain)"
115,Foreign Body in the Gastrointestinal Tract,"abdominal_pain_or_discomfort,bowel_obstruction,chest_pain_or_pressure,choking_or_gagging,coughing_or_wheezing,difficulty_swallowing,drooling,gastrointestinal_bleeding,loss_of_appetite,nausea_or_vomiting,perforation_of_the_digestive_tract,respiratory_distress","Observation and monitoring (for small, smooth, and non-sharp objects that are likely to pass through the digestive tract without complications), endoscopic removal (using a flexible tube with a camera to locate and remove the foreign body), surgical intervention (in cases of severe complications, large or sharp objects, or failed endoscopic removal attempts), supportive care (such as intravenous fluids, pain management, and antibiotics if infection is present), imaging studies (such as X-rays or CT scans) to evaluate the location and extent of the foreign body, consultation with a gastroenterologist or surgeon for appropriate management"
116,Endophthalmitis,"blurred_vision,decreased_vision,discharge_from_the_eye,excessive_tearing,eye_pain,fever,floaters_(dark_spots_or_cobwebs_in_the_vision),increased_sensitivity_to_light_(photophobia),redness,swelling","Immediate medical attention is required. Treatment may include: intravenous antibiotics or antifungal medications, intravitreal injections (injections of antibiotics or antifungal agents directly into the eye), vitrectomy (surgical removal of the gel-like fluid within the eye), topical or oral medications (to manage pain, inflammation, or infection), frequent follow-up visits with an ophthalmologist, supportive care (such as warm compresses or lubricating eye drops)"
117,Achalasia,difficulty_swallowing,"Balloon dilation, surgery, medication"
118,Conductive Hearing Loss,"muffled_or_blocked_sound,reduced_hearing_sensitivity","Medications, surgical intervention, hearing aids"
119,Abdominal Hernia,"discomfort_or_pain,visible_bulge_or_swelling","Watchful waiting, hernia truss, surgical repair, lifestyle changes"
120,Marijuana Abuse,"altered_judgment,anxiety,impaired_memory_and_cognition","Behavioral therapy, counseling, support groups, medication, detoxification"
121,Cryptococcosis,"cough,fatigue,fever,headache,meningitis,pneumonia","Antifungal medication (e.g., Amphotericin B, Fluconazole), supportive care"
122,Obesity,"excessive_body_weight,increased_risk_of_chronic_conditions","Antifungal medication eg  Amphotericin B, Fluconazole, supportive care"
123,Indigestion,"abdominal_pain,acidic_taste,bloating,heartburn,nausea","Lifestyle changes (e.g., dietary modifications, stress reduction), over-the-counter antacids, medication, therapy"
124,Bursitis,"joint_pain,limited_range_of_motion,swelling,tenderness","Rest, ice, compression, elevation (RICE therapy), pain relievers, physical therapy, steroid injections"
125,Esophageal Cancer,"chest_pain,difficulty_swallowing,hoarseness,unintentional_weight_loss","Surgery, chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care, clinical trials"
126,Pulmonary Congestion,"chest_discomfort_or_tightness,cough,fatigue,shortness_of_breath,wheezing","Diuretics, medications to manage underlying conditions (e.g., heart failure), oxygen therapy, lifestyle changes"
127,Juvenile Rheumatoid Arthritis,"fever,joint_pain,limited_range_of_motion,rash,stiffness,swelling","Medications (NSAIDs, DMARDs), physical therapy, occupational therapy, exercise, assistive devices"
128,Actinic Keratosis,"rough,scaly_patches_on_the_skin,usually_in_sun-exposed_areas","Topical medications (e.g., fluorouracil, imiquimod, diclofenac), cryotherapy, curettag"
129,Acute Otitis Media,"ear_pain,fever,fluid_drainage_from_the_ear,hearing_loss_or_muffled_hearing_in_the_affected_ear","Antibiotics, pain relievers (e.g., acetaminophen, ibuprofen), warm compresses, ear drops, tympanostomy tubes (in some cases)"
130,Astigmatism,"blurred_or_distorted_vision,eye_strain,headaches,uneven_curvature_of_cornea","Eyeglasses, contact lenses, refractive surgery (LASIK, PRK), orthokeratology, toric intraocular lenses"
131,Tuberous Sclerosis,"benign_tumors_in_various_organs,developmental_delays,seizures,skin_abnormalities","Medications (anti-seizure, behavioral, etc.), surgery (for tumor removal), therapy (physical, occupational, speech), educational interventions, support services, genetic counseling, monitoring of organ involvement"
132,Empyema,"chest_pain,fever,productive_cough_with_foul-smelling_or_bloody_sputum","Antibiotics, drainage (chest tube insertion, thoracentesis), surgical intervention (decortication), supportive care, treatment of underlying cause"
133,Presbycusis,"difficulty_hearing_high-pitched_sounds,gradual_hearing_loss,speech_sounds_muffled_or_unclear","Hearing aids, assistive listening devices, cochlear implants (in severe cases), communication strategies, counseling, regular hearing evaluations"
134,Neonatal Jaundice,"dark_urine,pale_stools,yellowing_of_the_skin_and_eyes","Phototherapy, exchange transfusion (in severe cases), monitoring of bilirubin levels, addressing underlying causes (e.g., breastfeeding)"
135,Dislocation of the Elbow,"inability_to_move_the_elbow,numbness_or_tingling_in_the_hand/arm,severe_pain,swelling,visible_deformity","Closed reduction (realigning the bones without surgery), immobilization (splint or cast), physical therapy, pain management, surgical intervention (in complex or recurrent cases)"
136,Spondylosis,"limited_range_of_motion,neck_or_back_pain,numbness_or_weakness_in_the_extremities,stiffness","Medications (pain relievers, muscle relaxants), physical therapy, exercise, posture improvement, heat or cold therapy, spinal injections, surgery (in severe cases or if conservative treatments fail)"
137,Herpangina,"difficulty_swallowing,fever,loss_of_appetite,painful_sores_or_blisters_in_the_mouth_and_throat,sore_throat","Symptomatic relief (pain relievers, throat lozenges, mouth rinses), rest, fluids, maintaining good oral hygiene, avoiding spicy or acidic foods"
138,Poisoning due to Antidepressants,"changes_in_heart_rate,confusion,dizziness,drowsiness,low_blood_pressure,nausea,respiratory_distress,seizures,vomiting","Seek immediate medical assistance or contact a poison control center, activated charcoal (if indicated), supportive care (maintaining vital signs, airway management), gastric lavage (in certain cases), administration of antidotes (if available and appropriate), monitoring and management of complications"
139,Infection of Open Wound,"fever,malaise,pain_or_tenderness_at_the_wound_site,pus_or_drainage_from_the_wound,redness,swelling,warmth","Cleaning and irrigation of the wound, antibiotic therapy (oral or intravenous), wound dressings, wound debridement (if necessary), tetanus prophylaxis"
140,Protein Deficiency,"delayed_wound_healing,fatigue,hair_loss,impaired_immunity,muscle_wasting,swelling_of_the_limbs,weakness","Increasing protein intake through diet (lean meats, fish, dairy, legumes, nuts), protein supplements, nutritional counseling, addressing underlying causes (e.g., malabsorption)"
141,Myoclonus,"brief_muscle_contractions_or_jerks,legs,often_affecting_the_arms,or_face,sudden","Identifying and treating underlying causes (e.g., medication adjustments, metabolic imbalances), medications (anti-seizure drugs, tranquilizers), physical therapy, supportive care"
142,Bone Spur of the Calcaneus,"especially_when_walking_or_standing,heel_pain,inflammation_of_the_surrounding_tissue,swelling,tenderness","Nonsteroidal anti-inflammatory drugs (NSAIDs), orthotic devices, physical therapy, stretching exercises, shoe modifications, corticosteroid injections, surgical removal (in severe cases)"
143,Von Willebrand Disease,"bleeding_gums,blood_in_urine_or_stool,easy_or_excessive_bruising,frequent_nosebleeds,heavy_or_prolonged_menstrual_periods,prolonged_or_excessive_bleeding_from_cuts_or_injuries","Desmopressin (DDAVP) medication, replacement therapy with von Willebrand factor (VWF) concentrate or cryoprecipitate, oral contraceptives (for women with heavy menstrual bleeding), avoiding certain medications, dental care precautions, regular medical follow-up"
144,Heart Block,"chest_pain_or_discomfort,dizziness,fainting,fatigue,irregular_heart_rhythms,shortness_of_breath","Medications (such as beta-blockers, calcium channel blockers), pacemaker implantation (in severe cases or symptomatic heart block), underlying condition management"
145,Colonic Polyp,"most_colonic_polyps_do_not_cause_symptoms._some_larger_polyps_or_certain_types_may_cause_rectal_bleeding_or_changes_in_bowel_habits,such_as_diarrhea_or_constipation.","Polypectomy (removal of polyp during colonoscopy), surveillance colonoscopy (regular monitoring for recurrence or new polyps), lifestyle modifications (healthy diet, regular exercise, smoking cessation), follow-up based on pathology findings"
146,Hypospadias,"abnormal_positioning_of_the_urethral_opening_on_the_underside_of_the_penis,difficulty_in_urination,penile_curvature,spraying_of_urine","Surgical repair (hypospadias repair surgery), hormone therapy (in some cases), counseling and support for the child and family"
147,Magnesium Deficiency,"fatigue,irregular_heartbeat,irritability,loss_of_appetite,mental_confusion,muscle_twitches_or_cramps,nausea,personality_changes,seizures,tingling_or_numbness,vomiting,weakness","Dietary changes (consuming magnesium-rich foods), oral magnesium supplements, intravenous magnesium therapy (in severe cases), addressing underlying causes (e.g., malabsorption), medical supervision and monitoring"
148,Female Infertility of Unknown Cause,"age-related_factors,hormonal_imbalances,inability_to_conceive_after_one_year_of_unprotected_intercourse,irregular_or_absent_menstrual_cycles,other","Fertility testing and evaluation (hormone tests, imaging, genetic screening), lifestyle modifications (healthy diet, regular exercise, stress reduction), fertility treatments (assisted reproductive technologies, fertility medications)"
149,Pericarditis,"chest_pain_(sharp_and_stabbing),fever,worsens_with_deep_breaths_or_lying_down","Nonsteroidal anti-inflammatory drugs (NSAIDs) to reduce inflammation and pain, colchicine (for recurrent or persistent pericarditis), corticosteroids (in severe cases or when NSAIDs are ineffective), antibiotics (if bacterial infection is present), lifestyle modifications (rest, avoiding strenuous activity), treating underlying causes (if identified), potential pericardiocentesis (fluid drainage)"
150,Attention Deficit Hyperactivity Disorder (ADHD),"hyperactivity,impulsivity,inattention","Behavioral therapy, parent training programs, medication (such as stimulants or non-stimulants), individualized education plans (IEPs) for academic support, accommodations and modifications in school, psychoeducation, counseling"
151,Neuromyelitis Optica,"loss_of_bladder_or_bowel_control),numbness,optic_neuritis_(vision_loss,or_paralysis_of_the_limbs,pain_with_eye_movement),transverse_myelitis_(weakness","High-dose corticosteroids, plasma exchange (to remove antibodies from the blood), immunosuppressive therapy (such as azathioprine or rituximab), supportive care to manage symptoms, physical therapy or rehabilitation for functional recovery"
152,Pulmonic Valve Disease,"chest_pain_or_discomfort,fainting_or_lightheadedness,fatigue,heart_palpitations,shortness_of_breath,swollen_legs_or_ankles","Medications (such as diuretics, beta-blockers, or calcium channel blockers), surgical interventions (such as balloon valvuloplasty or valve replacement), lifestyle modifications (such as regular exercise, heart-healthy diet, smoking cessation), regular follow-up with a cardiologist"
153,Tietze Syndrome,"chest_pain,swelling_and_tenderness_of_the_cartilage_connecting_the_ribs_to_the_breastbone","Nonsteroidal anti-inflammatory drugs (NSAIDs), pain relievers, local heat or ice application, avoiding activities that worsen symptoms, supportive measures (such as wearing loose clothing or using supportive pillows), physical therapy (to improve posture and strengthen muscles), corticosteroid injections (in some cases), stress reduction techniques"
154,Cranial Nerve Palsy,"depends_on_the_specific_cranial_nerve_involved;_symptoms_can_include_vision_changes,difficulty_swallowing_or_speaking,eye_movement_abnormalities,facial_weakness_or_paralysis,loss_of_sensation_in_the_face_or_other_areas","Treatment depends on the underlying cause and specific cranial nerve affected. It may include medications (such as corticosteroids or antiviral drugs), physical therapy, speech therapy, occupational therapy, eye exercises, surgery (in some cases), and management of any underlying conditions."
155,Conversion Disorder,"blindness,neurological_symptoms_that_cannot_be_explained_by_a_medical_condition_or_injury,or_difficulty_speaking,seizures,such_as_paralysis","Psychotherapy (such as cognitive-behavioral therapy or psychodynamic therapy), physical therapy or rehabilitation (to improve physical function and reduce disability), addressing underlying stressors or psychological factors, supportive care and reassurance, potentially medications (such as antidepressants or anti-anxiety medications)"
156,Complex Regional Pain Syndrome,"abnormal_sweating,changes_in_skin_color_or_temperature,limited_range_of_motion,often_in_the_limbs,severe_and_chronic_pain,with_associated_swelling","Physical therapy (including exercises, stretching, and mirror therapy), pain management techniques (such as medications, nerve blocks, or spinal cord stimulation), sympathetic nerve blocks, psychological support (such as cognitive-behavioral therapy or counseling), occupational therapy, graded motor imagery, transcutaneous electrical nerve stimulation (TENS), patient education and self-management techniques"
157,Otosclerosis,"dizziness_or_balance_problems,hearing_loss_(gradual_and_progressive),tinnitus_(ringing_in_the_ears)","Hearing aids, surgical interventions (such as stapedectomy or stapedotomy to replace the affected bone in the middle ear), sodium fluoride therapy (to slow down the progression of the condition), communication strategies and support (such as lip-reading or sign language), regular hearing assessments"
158,Hypothyroidism,"constipation,depression,dry_skin,elevated_cholesterol_levels,fatigue,muscle_weakness,sensitivity_to_cold,weight_gain","Hormone replacement therapy with synthetic thyroid hormone (levothyroxine), regular monitoring of thyroid hormone levels and adjustment of medication dosage, lifestyle modifications (such as healthy diet and regular exercise), management of associated symptoms (such as cholesterol-lowering medications or antidepressants), education and support for long-term management"
159,Primary Insomnia,"daytime_sleepiness,difficulty_concentrating,difficulty_falling_asleep_or_staying_asleep,irritability","Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene practices (such as maintaining a regular sleep schedule, creating a comfortable sleep environment), relaxation techniques, stimulus control techniques (such as limiting bed activities to sleep only), sleep restriction therapy, medications for insomnia (such as sedative-hypnotics, melatonin agonists)"
160,Lice,itching_and_visible_presence_of_lice_or_nits_(eggs)_in_the_hair,"Over-the-counter or prescription medications specifically designed to kill lice (such as pediculicides), manual removal of lice and nits using a fine-toothed comb, washing and drying of infested clothing and bedding at high temperatures, vacuuming of upholstery and household surfaces, disinfection of personal items that cannot be washed or dried, avoiding direct head-to-head contact with infested individuals, education and prevention strategies"
161,Vitamin B12 Deficiency,"balance_problems,fatigue,pale_skin,shortness_of_breath,sore_tongue,tingling_or_numbness_in_the_hands_and_feet,weakness","Vitamin B12 supplementation (such as oral supplements or injections), dietary changes to include B12-rich foods (such as meat, fish, eggs, and dairy products), identification and management of underlying causes (such as pernicious anemia or malabsorption disorders), management of associated symptoms or complications (such as nerve pain or balance problems), regular monitoring of B12 levels and treatment adjustment"
162,Vulvodynia,"burning,itching,persistent_pain_or_discomfort_in_the_vulva,rawness,stinging","Topical medications (such as lidocaine or estrogen creams), nerve blocks, physical therapy (including pelvic floor muscle relaxation exercises), cognitive-behavioral therapy (CBT), biofeedback, medications (such as tricyclic antidepressants or anticonvulsants), vulvar care and hygiene practices, stress management techniques, alternative therapies (such as acupuncture or herbal remedies)"
163,Endometriosis,"heavy_menstrual_bleeding,infertility,intercourse,or_bowel_movements),pelvic_pain_(during_menstruation","Pain management (such as nonsteroidal anti-inflammatory drugs [NSAIDs], hormonal contraceptives, or progestins), hormone therapy (such as gonadotropin-releasing hormone [GnRH] agonists or oral contraceptives), surgical interventions (such as laparoscopic excision or hysterectomy), fertility treatments (if pregnancy is desired), lifestyle modifications (such as regular exercise, stress management), complementary therapies (such as acupuncture or dietary changes)"
164,Vasculitis,"fatigue,fever,including_rash,inflammation_of_blood_vessels_leading_to_various_symptoms_depending_on_the_affected_organs,muscle_and_joint_pain,shortness_of_breath,weight_loss","Treatment depends on the type and severity of vasculitis. It may include corticosteroids, immunosuppressive medications (such as cyclophosphamide or azathioprine), biologic therapies (such as rituximab), disease-specific treatments (such as plasmapheresis for certain types), supportive care to manage symptoms (such as pain relievers or blood pressure medications), monitoring and management of associated complications (such as organ damage or infections)"
165,Concussion,"confusion,dizziness,headache,memory_problems,mood_changes,nausea_or_vomiting,sensitivity_to_light_or_noise","Physical and cognitive rest, gradual return to normal activities, symptom management (such as pain relievers or anti-nausea medication), monitoring for complications (such as changes in neurological function), cognitive rehabilitation (if persistent cognitive problems), management of associated symptoms (such as sleep disturbances or mood changes), education and support for recovery, avoiding further head injuries"
166,Oral Leukoplakia,"often_on_the_tongue_or_inside_of_the_cheeks,that_cannot_be_scraped_off,white_patches_or_plaques_in_the_mouth","Regular monitoring and follow-up, identification and elimination of potential irritants (such as tobacco or alcohol), improving oral hygiene practices, medication (such as topical retinoids or antifungal agents), surgical removal (in some cases), cryotherapy (freezing the patches), laser therapy, lifestyle modifications (such as healthy diet), regular dental check-ups, education and support"
167,Chronic Kidney Disease,"blood_in_urine,decreased_appetite,difficulty_concentrating,fatigue,high_blood_pressure,increased_urination_or_urine_changes,swelling_of_the_legs_or_ankles","Management of underlying conditions (such as diabetes or high blood pressure), lifestyle modifications (such as healthy diet, regular exercise, smoking cessation), medications (such as ACE inhibitors or diuretics), dialysis (in advanced stages), kidney transplant (in end-stage kidney disease), management of associated complications (such as anemia or bone disease), regular monitoring and follow-up with a nephrologist, education and support for self-care"
168,Bladder Disorder,"frequent_urination,pelvic_pain,urgency","Medications, bladder training, lifestyle changes"
169,Chorioretinitis,"blurred_vision,eye_pain,sensitivity_to_light","Antiviral medications, corticosteroids, eye drops"
170,Priapism,"painful_erection,persistent","Medical intervention (aspiration, medication, surgery)"
171,Myositis,"inflammation,muscle_weakness,pain","Medications (corticosteroids, immunosuppressants), physical therapy"
172,Mononucleosis,"fatigue,sore_throat,swollen_lymph_nodes","Rest, pain relievers, fluids, symptom management"
173,Neuralgia,"sharp,shooting_pain_along_the_affected_nerve","Medications (pain relievers, anticonvulsants), nerve blocks"
174,Polycystic Kidney Disease,"abdominal_pain,high_blood_pressure,kidney_cysts","Symptom management, blood pressure control, dialysis"
175,Bipolar Disorder,"depressive_episodes,manic_episodes,mood_swings","Medications (mood stabilizers, antipsychotics), therapy"
176,Amyloidosis,"fatigue,organ_dysfunction,weight_loss",Treatment depends on the type and extent of organ damage
177,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"numbness,tingling_in_limbs,weakness","Immunoglobulin therapy, corticosteroids, physical therapy"
178,Gastroesophageal Reflux Disease (GERD),"acid_reflux,chest_pain,heartburn","Lifestyle changes, medications (antacids, proton pump inhibitors)"
179,Vitreous Hemorrhage,"blurry_vision,eye_pain,floaters_in_vision","Observation, laser treatment, vitrectomy (in severe cases)"
180,Antimicrobial Drugs Poisoning,"diarrhea,nausea,neurological_symptoms,vomiting","Immediate medical attention, supportive care, antidote administration"
181,Scleroderma,"raynaud's_phenomenon,thickening_of_the_skin","Medications (immunosuppressants), therapy, symptom management"
182,Myasthenia Gravis,"difficulty_speaking,fatigue,muscle_weakness","Medications (acetylcholinesterase inhibitors, immunosuppressants), thymectomy (in some cases)"
183,Hypoglycemia,"confusion,dizziness,shaking,sweating","Consuming glucose or sugar-containing foods, adjusting medication or insulin dosage"
184,Idiopathic Absence of Menstruation,lack_of_menstrual_periods,"Evaluation to determine underlying cause, hormone therapy"
185,Dislocation of the Ankle,"inability_to_bear_weight,severe_pain,swelling","Reduction (realigning the bones), immobilization, rehab"
186,Carbon Monoxide Poisoning,"confusion,dizziness,headache,nausea","Fresh air, oxygen therapy, immediate medical attention"
187,Panic Attack,"chest_pain,palpitations,shortness_of_breath","Breathing exercises, relaxation techniques, therapy"
188,Plantar Fasciitis,"difficulty_walking,heel_pain,tenderness","Rest, stretching exercises, orthotic devices, physiotherapy"
189,Hyperopia,"blurred_vision_when_focusing_on_near_objects,difficulty_seeing_objects_up_close","Eyeglasses, contact lenses, refractive surgery"
190,Sedatives Poisoning,"confusion,drowsiness,slowed_breathing","Immediate medical attention, supportive care, antidote administration"
191,Pemphigus,painful_blisters_on_the_skin_and_mucous_membranes,"Corticosteroids, immunosuppressants, wound care"
192,Peyronie Disease,"curvature_of_the_penis,pain_during_erections","Medications, traction therapy, surgery"
193,Hiatal Hernia,"chest_pain,difficulty_swallowing,heartburn","Lifestyle changes, medications (antacids, proton pump inhibitors)"
194,Extrapyramidal Effect of Drugs,"involuntary_movements,muscle_stiffness,tremors","Adjusting medication dosage, switching to alternative medications"
195,Meniere Disease,"ear_fullness,hearing_loss,tinnitus,vertigo","Medications (diuretics, anti-vertigo drugs), lifestyle changes"
196,Anal Fissure,"pain_during_bowel_movements,rectal_bleeding","Stool softeners, fiber supplements, topical ointments, surgical procedures (in severe cases)"
197,Chronic Otitis Media,"ear_pain,hearing_loss,recurrent_ear_infections","Antibiotics, ear drops, surgical intervention (in some cases)"
198,Hirschsprung Disease,"abdominal_distension,chronic_constipation,failure_to_pass_meconium_(in_newborns)",Surgery to remove the affected part of the colon (pull-through procedure)
199,Polymyalgia Rheumatica,"fatigue,joint_pain,muscle_pain_and_stiffness","Low-dose corticosteroids, nonsteroidal anti-inflammatory drugs (NSAIDs)"
200,Lymphedema,"feeling_of_heaviness_or_tightness,swelling_in_arms_or_legs","Compression therapy, exercise, lymphatic drainage techniques, surgery (in severe cases)"
201,Bladder Cancer,"blood_in_urine,frequent_urination,pelvic_pain","Surgery, chemotherapy, radiation therapy"
202,Acute Bronchospasm,"chest_tightness,shortness_of_breath,wheezing","Bronchodilators (inhaled medications), corticosteroids, supplemental oxygen (if needed)"
203,Acute Glaucoma,"blurred_vision,halos_around_lights,severe_eye_pain","Medications (eye drops), laser therapy, surgery (in some cases)"
204,Dislocation of the Patella,"inability_to_straighten_the_leg,knee_pain,swelling","Manual reduction, immobilization, physical therapy"
205,Sciatica,pain_radiating_from_the_lower_back_to_the_leg,"Pain medications, physical therapy, stretching exercises"
206,Hypercalcemia,"excessive_thirst,fatigue,kidney_stones,nausea","Treating underlying cause, hydration, medications"
207,Stress Incontinence,unintentional_urine_leakage_during_physical_activity,"Pelvic floor exercises, behavioral techniques, surgery (in severe cases)"
208,Benign Kidney Cyst,"abdominal_or_flank_pain,blood_in_urine,frequent_urination","Observation, medication (if needed), surgery (in rare cases)"
209,Hydrocele of the Testicle,swelling_of_the_scrotum,"Observation, surgical drainage (in some cases)"
210,Hirsutism,excessive_hair_growth_in_women,"Medications (anti-androgens, oral contraceptives), hair removal methods, lifestyle changes"
211,Hydronephrosis,"flank_pain,swelling_in_the_abdomen,urinary_frequency","Treating underlying cause, medications, ureteral stent, surgery"
212,Diverticulosis,"abdominal_pain,bloating,changes_in_bowel_movements","High-fiber diet, medications (pain relievers, antibiotics)"
213,Pain after an Operation,"discomfort,surgical_site_pain,swelling","Pain medications, ice packs, rest, wound care"
214,Huntington Disease,"and_psychiatric_symptoms,cognitive,motor","Supportive care, medications (to manage symptoms), therapy"
215,West Nile Virus,"body_aches,fever,headache,rash","Supportive care, symptom management, prevention of mosquito bites"
216,Lymphoma,"fatigue,swollen_lymph_nodes,unexplained_weight_loss","Chemotherapy, radiation therapy, immunotherapy, targeted therapy"
217,Dermatitis due to Sun Exposure,"blistering,itching,rash,redness","Topical corticosteroids, moisturizers, avoiding sun exposure"
218,Anemia due to Chronic Kidney Disease,"fatigue,pale_skin,weakness","Erythropoiesis-stimulating agents (ESA), iron supplementation, blood transfusions (in severe cases)"
219,Injury to Internal Organ,"abdominal_pain,bleeding,organ_dysfunction","Immediate medical attention, diagnostic tests, surgery (in some cases)"
220,Scleritis,"blurred_vision,eye_redness,severe_eye_pain","Steroid eye drops, nonsteroidal anti-inflammatory drugs (NSAIDs), immunosuppressants"
221,Pterygium,growth_on_the_conjunctiva_(white_part_of_the_eye),"Artificial tears, eye lubricants, surgical removal (in severe cases)"
222,Fungal Infection of the Skin,"itching,peeling_skin,rash,redness","Antifungal creams, powders, or oral medications, proper hygiene and skin care"
223,Insulin Overdose,"confusion,low_blood_sugar_(hypoglycemia)_symptoms_(e.g.,sweating)","Immediate treatment of hypoglycemia, medical assistance, adjusting insulin dosage and regimen"
224,Syndrome of Inappropriate Secretion of ADH (SIADH),"excessively_concentrated_urine,low_blood_sodium_levels","Treating underlying cause, fluid restriction, medications to suppress ADH (vasopressin) secretion, addressing electrolyte imbalance"
225,Premenstrual Tension Syndrome,"bloating,breast_tenderness,irritability,mood_swings","Lifestyle changes, medications (pain relievers, hormonal contraceptives), therapy"
226,Orbital Cellulitis,"eye_pain,redness,swelling,vision_changes","Antibiotics, hospitalization (in severe cases), surgical drainage (in some cases)"
